family,file_name,free_ener_barr,free_ener_reac,labels,E$_{p}$(LA),E$_{p}$(LA)$^2$,E$_{p}$(LB),E$_{p}$(LB)$^2$,EF$_{la}$(ESP),EF$_{la}$(ESP)$^2$,EF$_{la}$(NPA),EF$_{la}$(NPA)$^2$,EF$_{lb}$(ESP),EF$_{lb}$(ESP)$^2$,EF$_{lb}$(NPA),EF$_{lb}$(NPA)$^2$,EP(ESP),EP(ESP)$^2$,EP(NPA),EP(NPA)$^2$,FEHA,FEHA$^2$,FEPA,FEPA$^2$,Mw,Mw$^2$,d,d$^2$,q$_{la}$(ESP),q$_{la}$(ESP)$^2$,q$_{la}$(NPA),q$_{la}$(NPA)$^2$,q$_{lb}$(ESP),q$_{lb}$(ESP)$^2$,q$_{lb}$(NPA),q$_{lb}$(NPA)$^2$,Φ,Φ$^2$,γ,γ$^2$,λ,λ$^2$
V,cyclo_biphenylene.log,23.16961185,18.5,85,0.03806,0.0014485635999999997,-0.33288,0.1108090944,0.1266904042327426,0.016050458524655725,0.27362731680277175,0.07487190850068441,-0.06104721624594136,0.0037267626113787265,-0.14970055378392075,0.02241025580321255,-0.05646765340083977,0.0031885958805973713,-0.2990701112550721,0.0894429314461212,-38.66898861,1495.2906801203096,-186.8956357,34929.978643707116,275.20199999999994,75736.14080399997,3.8799552223068243,15.054052527105998,0.476801,0.22733919360099997,1.0298,1.06048804,-0.229752,0.052785981504000004,-0.5634,0.31741956,27.81628752953068,773.745851925524,146.25879576614295,21391.635338962315,196.91006166798238,38773.57238608862
VIII,cyclo_dibenzofuran.log,58.86677322,35.5,111,0.05874,0.0034503876000000003,-0.37346,0.1394723716,0.06411871350169622,0.004111209421112601,0.12635564129261312,0.01596574808646752,-0.051173165791127156,0.0026186928970861867,-0.07046719784379443,0.004965625971956467,-0.07104013396616782,0.00504670063393107,-0.1927783793409943,0.03716350354134029,-40.17124755,1613.7291297233808,-185.9349179,34571.79369447973,291.2009999999999,84798.02240099995,5.574281429657638,31.072613457026005,0.498084,0.24808767105600002,0.98155,0.9634404025000001,-0.397521,0.158022945441,-0.5474,0.29964676,124.20222816078082,15426.193480102656,10.843459534974725,117.58061468663428,180.57386947967916,32606.922338864206
II,cyclo_dimethylaniline.log,16.10384925,11.2,55,0.09945,0.0098903025,-0.31392,0.09854576639999998,0.15355189406345632,0.02357818417047491,0.459265273439118,0.2109245913871078,-0.10267900734956979,0.010542978550293007,-0.23008937238010893,0.052941119282272436,-0.05417382072860756,0.00293480285233531,-0.36308875146349695,0.13183344143932105,-35.57787435,1265.7851432643881,-188.608738,35573.25604995264,201.12000000000003,40449.25440000001,3.0179650401815463,9.108112983758003,0.349642,0.122249528164,1.04576,1.0936139776,-0.233803,0.054663842809,-0.52392,0.27449216640000007,122.66179876057961,15045.91687518093,64.91270515569431,4213.659290630103,124.1109879479452,15403.537329415
I,cyclo_metriazole.log,32.81632308,11.9,32,0.09196,0.0084566416,-0.47303,0.2237573809,0.10685976074419765,0.011419008466307164,0.5564621101185118,0.30965007999754673,-0.16761325953953757,0.02809420477346838,-0.14819036142527836,0.021960383219354628,-0.038673488101890995,0.0014956386819671044,-0.17805178449595827,0.031702437962195164,-39.03168939,1523.4727766374383,-186.2003547,34670.57209040581,163.031,26579.106961,2.584998253754923,6.682215971916001,0.178515,0.031867605225000005,0.9296,0.86415616,-0.280007,0.078403920049,-0.24756,0.0612859536,81.07005711414412,6572.3541604905895,110.67846331865499,12249.722242578859,241.10518144549738,58131.70851986622
VI,cyclo_xanthene.log,25.22658963,22.0,92,0.05966,0.0035593155999999997,-1.02391,1.0483916881000002,0.1124621159626255,0.012647727526791023,0.23892238975497737,0.05708390832622932,-0.012585789684555461,0.00015840210198386266,-0.12197848925311933,0.014878751840473346,-0.01305290399439331,0.00017037830268684884,-0.2687574571028044,0.07223057074836575,-34.38748788,1182.4993226971471,-191.209767,36561.17499619429,333.28199999999987,111076.89152399992,4.194080900121145,17.590314596760997,0.494561,0.24459058272099998,1.05068,1.1039284624,-0.055347,0.003063290409,-0.53641,0.28773568810000005,6.184560699082463,38.24879104063537,172.23421245150394,29664.623938789795,175.55277124551907,30818.775491981545
II,ethy_dimethylaniline.log,16.92588735,-0.7,44,0.0758,0.005745640000000001,-0.31244,0.0976187536,0.28647427422716254,0.08206750979397952,0.2686011571560771,0.07214658162558361,-0.13980699322182294,0.019545995353726846,-0.2168275242653912,0.04701417527905881,-0.14058513009917095,0.019764178805000823,-0.20443118877530878,0.041792110944085935,-52.81494654,2789.418578023058,-191.1727439,36547.018010254986,181.04500000000002,32777.292025,3.039519614020117,9.238679484013,0.661661,0.43779527892100006,0.62038,0.38487134440000004,-0.322908,0.10426957646399998,-0.5008,0.25080064,126.34865198410974,15963.981858201678,58.32068446577047,3401.302236555961,132.48826040253005,17553.13914448861
I,ethy_metriazole.log,30.27804513,-1.6,18,0.07039,0.004954752099999999,-0.48209,0.23241076810000003,0.291906063689275,0.08520915001856709,0.3635195094742275,0.13214643376838298,-0.20539493907259068,0.042187080996633236,-0.13713238659328736,0.01880529145277082,-0.12821488050480195,0.016439055582860643,-0.10660395934821242,0.011364404148715325,-56.54486598,3197.321868696161,-184.34167,33981.851298388894,142.95600000000002,20436.417936000005,2.5767078941482677,6.639423571766001,0.484522,0.234761568484,0.60339,0.36407949209999996,-0.340926,0.116230537476,-0.22762,0.0518108644,89.3473107668194,7982.941941262603,90.70200891013677,8226.85442033453,206.02117314175123,42444.72378270344
II,f_benzopiperidine.log,20.90555577,13.6,70,0.04169,0.0017380560999999998,-0.32888,0.1081620544,0.38922109401263016,0.1514930600243887,0.5573723266152093,0.31066391047645153,-0.28634688272338427,0.08199453724539958,-0.2422550499417162,0.058687509222263415,-0.3831248382982322,0.14678464172104655,-0.4641621479469346,0.21544649958671203,-42.69634779,1822.9781146046375,-169.9635334,28887.60268581291,209.04680632600002,43700.56723510016,3.0184256932561717,9.110893665709002,0.886538,0.785949625444,1.26954,1.6117318115999997,-0.652219,0.425389623961,-0.55179,0.3044722041,127.19379069044496,16178.260390204721,51.98185018529025,2702.11274868596,140.53839679309095,19751.04097317228
V,f_biphenylene.log,23.63773431,11.2,87,0.0394,0.0015523599999999998,-0.32616,0.10638034560000001,0.22098541916351144,0.04883455548287285,0.3181501071749079,0.10121949069540537,-0.08403149566169289,0.007061292263141112,-0.12774085534253257,0.016317726123641834,-0.14818149380059645,0.021957755104976204,-0.324302389972648,0.10517204014197146,-45.45613677,2066.260370052946,-191.1633313,36543.41923371356,243.06380632600002,59080.01394568325,3.9966189891764765,15.972963344646,0.882448,0.7787144727040001,1.27045,1.6140432025000002,-0.335558,0.11259917136400001,-0.5101,0.26020201,145.86613653496715,21276.92978763768,33.84837293235596,1145.7123501678475,120.06054868400108,14414.535350303393
I,f_clmetriazole.log,35.48826066,12.1,23,0.03293,0.0010843849,-0.49797,0.2479741209,0.46249889177055564,0.21390522488899213,0.7684569584363244,0.5905260969692069,-0.18554771354619015,0.034427954002219034,-0.13606934632961368,0.018514867010568353,-0.17843754427178482,0.031839957205745166,-0.21742014458077566,0.04727151926952539,-49.56318972,2456.5097752207134,-174.1942058,30343.62133429275,165.33480632599998,27335.598182855923,2.5527207410801913,6.516383181941001,0.753455,0.567694437025,1.25189,1.5672285720999999,-0.302275,0.09137017562500001,-0.22167,0.0491375889,89.54381509066557,8018.094820991308,90.54578558790044,8198.539287730038,205.68939014146278,42308.125216766886
