labels,family,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E$_{p}$(LA),E$_{p}$(LB),d,Mw,γ,λ,Φ,q$_{la}$(NPA),q$_{lb}$(NPA),q$_{la}$(ESP),q$_{lb}$(ESP),EF$_{la}$(NPA),EF$_{lb}$(NPA),EF$_{la}$(ESP),EF$_{lb}$(ESP),EP(NPA),EP(ESP)
32,I,cyclo_metriazole.log,11.9,32.81632308,-39.03168939,-186.2003547,0.09196,-0.47303,2.584998253754923,163.031,110.67846331865499,241.10518144549738,81.07005711414412,0.9296,-0.24756,0.178515,-0.280007,0.5564621101185118,-0.14819036142527836,0.10685976074419765,-0.16761325953953757,-0.17805178449595827,-0.038673488101890995
92,VI,cyclo_xanthene.log,22.0,25.22658963,-34.38748788,-191.209767,0.05966,-1.02391,4.194080900121145,333.28199999999987,172.23421245150394,175.55277124551907,6.184560699082463,1.05068,-0.53641,0.494561,-0.055347,0.23892238975497737,-0.12197848925311933,0.1124621159626255,-0.012585789684555461,-0.2687574571028044,-0.01305290399439331
44,II,ethy_dimethylaniline.log,-0.7,16.92588735,-52.81494654,-191.1727439,0.0758,-0.31244,3.039519614020117,181.04500000000002,58.32068446577047,132.48826040253005,126.34865198410974,0.62038,-0.5008,0.661661,-0.322908,0.2686011571560771,-0.2168275242653912,0.28647427422716254,-0.13980699322182294,-0.20443118877530878,-0.14058513009917095
18,I,ethy_metriazole.log,-1.6,30.27804513,-56.54486598,-184.34167,0.07039,-0.48209,2.5767078941482677,142.95600000000002,90.70200891013677,206.02117314175123,89.3473107668194,0.60339,-0.22762,0.484522,-0.340926,0.3635195094742275,-0.13713238659328736,0.291906063689275,-0.20539493907259068,-0.10660395934821242,-0.12821488050480195
70,II,f_benzopiperidine.log,13.6,20.90555577,-42.69634779,-169.9635334,0.04169,-0.32888,3.0184256932561717,209.04680632600002,51.98185018529025,140.53839679309095,127.19379069044496,1.26954,-0.55179,0.886538,-0.652219,0.5573723266152093,-0.2422550499417162,0.38922109401263016,-0.28634688272338427,-0.4641621479469346,-0.3831248382982322
87,V,f_biphenylene.log,11.2,23.63773431,-45.45613677,-191.1633313,0.0394,-0.32616,3.9966189891764765,243.06380632600002,33.84837293235596,120.06054868400108,145.86613653496715,1.27045,-0.5101,0.882448,-0.335558,0.3181501071749079,-0.12774085534253257,0.22098541916351144,-0.08403149566169289,-0.324302389972648,-0.14818149380059645
23,I,f_clmetriazole.log,12.1,35.48826066,-49.56318972,-174.1942058,0.03293,-0.49797,2.5527207410801913,165.33480632599998,90.54578558790044,205.68939014146278,89.54381509066557,1.25189,-0.22167,0.753455,-0.302275,0.7684569584363244,-0.13606934632961368,0.46249889177055564,-0.18554771354619015,-0.21742014458077566,-0.17843754427178482
25,I,f_cnmetriazole.log,11.2,35.43554982,-56.06607585,-167.5325597,0.02449,-0.50987,2.5616189468625112,155.902806326,91.13384019480165,205.62078503569532,88.98597533294763,1.25473,-0.22609,0.778651,-0.290133,0.7648587151114263,-0.1378200145844464,0.47465032587108563,-0.17685936702830368,-0.22148642056809867,-0.1763824794157609
105,VIII,f_dibenzofuran.log,29.7,59.06757642,-46.74629733,-186.9376789,0.03264,-0.33083,5.584725893830869,259.06280632600004,161.6125935613726,151.59098583240512,33.50586561073957,1.27019,-0.54533,0.892726,-0.393123,0.16290145232902847,-0.06993839425486667,0.11449181770592139,-0.05041789625484744,-0.24805969921107726,-0.12568248826166237
48,II,f_dimethylaniline.log,8.9,21.97232277,-42.78796425,-187.2062532,0.04341,-0.31649,3.038985659104202,168.98180632600003,48.58836966447853,140.39565890472807,132.86821999055132,1.26486,-0.50873,0.847438,-0.371556,0.5478291642506413,-0.2203383226042635,0.36703765736463717,-0.16092627875995072,-0.4234782917598075,-0.20722090121400183
21,I,f_dimetriazole.log,10.6,35.72483193,-45.37769802,-180.8702847,0.03942,-0.48521,2.545480371625953,144.91980632599999,89.49326847188891,205.95290618059806,90.4763496302152,1.24819,-0.23267,0.771088,-0.297686,0.7705506394236102,-0.14363519758585744,0.47601915690069047,-0.183771811701309,-0.22818197345948762,-0.1803526791458836
27,I,f_fmetriazole.log,12.5,35.97897348,-49.35297387,-173.3018866,0.03218,-0.49914,2.56737598806661,148.883209489,90.66874942925159,206.06988477092605,89.39581210820894,1.24525,-0.21989,0.806454,-0.270777,0.7556794142943161,-0.13344014969618723,0.48939625486874794,-0.16432090324382415,-0.21330574389783988,-0.17011080244810206
81,IV,f_indenoPy.log,8.8,22.84958175,-42.84381264,-193.6564285,0.05711,-0.43681,2.872288396007267,215.009806326,70.22081336959099,182.91187010493877,13.536606224595268,1.31018,-0.47559,0.963244,-0.551817,0.6352356594518866,-0.23058795530287657,0.4670250939207385,-0.2675463187438075,-0.4338760042801938,-0.3701121482695675
29,I,f_metriazolamine.log,10.3,37.31431476,-44.91271311,-182.0261581,0.0394,-0.48135,2.564711204668471,145.907806326,92.21867118786248,208.83738166442373,88.32075576078539,1.23123,-0.21755,0.749899,-0.283768,0.7487248404512558,-0.1322946070516237,0.4560220341687225,-0.1725625192085735,-0.20887660646737363,-0.16594253500717823
20,I,f_metriazole.log,10.0,35.79636807,-46.67601621,-177.2332368,0.03772,-0.49068,2.562845782996121,130.89280632600003,89.19309055666878,206.36256447823052,90.72475938328162,1.24851,-0.23588,0.746108,-0.315576,0.760338653152853,-0.14365017621460377,0.45437741934511444,-0.19218478891427762,-0.22982150604139237,-0.18374400814140315
7,I,f_nmeimidazole.log,10.4,34.0286724,-39.791604,-189.1283163,0.04863,-0.45481,2.5751133755349493,129.90480632599997,88.29165901876979,209.3456865338432,91.47903087929588,1.24252,-0.48535,0.791373,-0.601444,0.7494983308932062,-0.29276713042769337,0.4773627326835376,-0.3627959905077853,-0.4683732279358163,-0.36966647537460257
1,I,f_pyrazole.log,-2.2,28.98725706,-55.68768732,-177.0424737,0.01829,-0.50637,2.439278269346694,129.90480632600003,59.78091700342852,167.04302619111175,119.36872732716606,1.34744,-0.28154,0.866011,-0.550157,0.9058300696986873,-0.18926809195434932,0.5821845904009305,-0.3698485673983411,-0.3110413947988006,-0.39064178918349024
